network_age,Aggregate_Total_Rev,Aggregate_SMS_Rev,Aggregate_Data_Rev,Aggregate_Data_Vol,Aggregate_ONNET_REV,Aggregate_OFFNET_REV,aug_user_type_3G,sep_user_type_3G,aug_fav_a_mobilink,aug_fav_a_ufone,sep_fav_a_mobilink,sep_fav_a_ufone,Class
1914,1592.72,23.26,2.5,11.6113,25523,99000,0,0,0,0,1,0,Churned
2073,1404.1496,174.45,27.5,2531.7246,14584,77299,0,0,1,0,0,1,Churned
3139,85.5504,14.34,5,29133.0557,477,4194,0,0,0,0,0,0,Churned
139,2315.2292,19.25,52.5,267441.2813,50316,52400,0,0,0,0,0,1,Active
143,973.9664,21.86,22.5,920871.0674,4032,15476,1,1,1,0,0,1,Active
174,457.6752,96.93,12.5,191.5703,708,22437,1,1,0,1,1,0,Churned
431,32.68,15.45,0,6.3379,0,336,0,0,1,0,1,0,Churned
443,1166.4,0,28.75,32954801.18,2400,1306,1,1,0,0,0,1,Active
619,212.41,80.86,2.5,38.6113,3972,2339,0,0,0,0,1,0,Active
924,58.89,11.95,23.75,1044714.024,0,645,1,1,0,0,0,0,Churned
941,69.998,9.56,2.5,28.8105,192,3438,0,0,0,0,0,0,Churned
1036,3078.39,0,0,103607.3232,0,33766,0,0,0,0,0,1,Active
1061,423.0128,4.79,2.5,381433.8233,9552,10846,0,0,0,0,0,1,Active
1142,817.08,10.5,25,69186.7422,15228,7656,1,1,0,0,0,1,Active
1207,1753.16,33.38,126.25,1064995.611,10542,63070,1,1,0,0,0,1,Churned
1239,686.298,22.74,176.25,1322.0596,6948,13334,1,1,0,0,0,0,Active
1251,514.884,45.88,3.75,6.0098,708,38807,0,0,0,0,1,0,Churned
1265,359.54,1.75,6.25,57359.462,4980,8960,1,1,0,0,0,1,Active
1326,3658.94,31.35,41.25,22332.0303,13920,171215,1,1,0,0,1,0,Active
1355,875.4,0,0,144766.4629,0,0,0,0,0,0,0,1,Active
1370,983.35,89.58,21.25,112779.6455,11688,48900,1,1,0,1,0,1,Churned
1382,239.976,53.54,1.25,37671.6074,954,6106,0,0,0,0,0,0,Churned
1390,44.77,12.82,0,42.6963,228,983,1,1,1,0,1,0,Churned
1456,2934.7028,200.37,108.75,40638.8886,16572,150693,0,0,0,0,1,0,Active
1458,1449.87,0,20,8781531.688,4104,77050,0,0,0,0,0,0,Churned
1506,561.7784,14.34,2.5,1.8096,3468,41004,0,0,1,0,1,0,Churned
1507,230.606,41.7,13.75,464.0674,2208,7200,1,1,0,1,0,1,Churned
1524,1861.86,21.74,0,1372374.348,4080,70511,1,1,1,0,0,1,Active
1531,944.5812,85.83,2.5,201623.1035,20400,9510,1,1,0,1,0,1,Churned
1552,1743.552,0,33.75,8259355.149,0,1938,1,1,0,0,0,1,Active
1606,154.6272,49.85,50,2305.1553,0,1829,0,0,1,0,0,0,Churned
1705,1160.7688,5.25,0,348.5996,0,8494,0,0,0,0,0,1,Active
1872,1093.6604,58.49,1.25,2203662.061,228,1404,1,0,0,0,0,1,Churned
1910,981.58,21.34,0,1209.3574,228,37844,0,0,0,0,0,1,Churned
2032,485.108,46.52,1.25,4.2793,8907,2653,0,0,0,1,0,1,Active
2081,605.33,1.2,18.75,808.9345,4584,18635,1,1,0,0,0,1,Active
2096,883.17,0,0,1450858.823,0,179,1,1,0,0,0,1,Active
2147,1105.43,0.02,0,265478.4893,10044,740,1,1,1,0,0,1,Active
2148,437.7,0,0,30611.7959,0,0,0,0,0,0,0,1,Active
2150,501.036,34.87,0,2568.8027,2862,18731,0,0,0,1,1,0,Churned
2159,1229.14,57.46,0,170993.0713,348,1629,0,0,0,0,0,1,Active
2161,922.2984,8.75,0,6862866.961,3024,10680,1,1,0,1,0,1,Churned
2226,1322.36,39.31,22.5,73820.5264,8820,61293,1,0,0,0,0,1,Churned
2237,1128.11,82.25,35,1235577.751,14616,24950,1,1,0,1,0,1,Active
2323,231.82,68.24,18.75,19.0537,4260,851,1,1,0,1,0,1,Active
2347,587.4948,7,0,31568.833,5478,25138,1,1,1,0,0,0,Active
2357,601.7,115.96,107.5,26682.8545,0,5171,1,1,0,0,1,0,Churned
2413,275.13,20.87,2.5,123.3301,972,9991,1,1,1,0,0,0,Churned
2440,1603.5504,94.78,221.25,366383.0537,17196,48921,1,1,0,0,0,1,Active
2442,214.43,20.05,17.5,44567.5371,120,2770,1,1,0,0,0,0,Churned
2492,944.46,0.02,10,1218412.512,0,3035,1,1,0,0,0,1,Active
2501,2517.6648,9.39,411.25,51514296.62,1428,51080,1,1,0,0,0,1,Active
2615,998.09,11.96,2.5,1581541.407,0,1251,0,0,0,1,0,1,Active
2639,1667.508,58.72,123.75,180711.5362,21264,51902,0,0,0,1,0,1,Active
2680,817.72,19.06,32.5,997772.8184,3672,10727,1,1,0,0,0,1,Active
2694,75.068,37.43,5,4824.7158,0,716,1,1,0,0,0,0,Churned
2707,841.6484,23.09,0,15689313.96,1872,30767,1,1,0,1,0,0,Churned
2750,1516.09,13.7,27.5,18422093.07,0,5721,1,1,0,0,0,1,Churned
2848,920.21,7.17,0,2835940.224,0,179,1,1,0,0,0,1,Active
2886,875.64,0,0,230007.955,0,0,1,1,0,0,0,1,Active
2990,650.1268,23.29,6.25,6299003.028,7110,9727,0,0,0,0,0,1,Active
3054,461.88,2.39,0,180877.6924,477,1678,1,1,0,1,0,0,Churned
3114,1145.61,1.75,22.5,1164443.296,228,21952,1,1,0,0,0,1,Active
3181,891.69,1.75,5,946378.5332,0,954,1,1,0,0,0,1,Active
3291,199.188,0.01,92.5,87203.6817,0,549,0,0,0,0,0,0,Active
3298,1125.91,166.88,13.75,39512.8291,24180,16174,0,0,0,0,0,1,Active
3437,929.8244,11.87,16.25,717.7168,11268,25698,0,0,0,0,0,1,Active
3479,188.9,27.86,5,5279.8809,7644,4355,0,0,0,0,0,1,Active
3533,1531.48,5.25,1.25,914409.4199,0,10584,1,1,0,1,0,1,Active
3621,1235.29,45.35,0,857.1758,900,6193,0,0,0,0,0,1,Active
3651,889.138,1.2,0,6065.1719,0,895,0,0,0,0,0,1,Active
3704,1045.3784,1.75,98.75,192469.0263,24828,17867,0,1,0,0,0,1,Active
3713,726.14,2.42,92.5,13224193.42,1320,6685,0,1,0,0,0,0,Active
3746,70.266,32.48,0,194.0635,0,407,1,1,0,0,0,0,Churned
3809,900.03,5.98,57.5,435275.586,7155,7580,1,1,0,1,0,1,Active
3817,1042.04,10.5,76.25,326820.4102,16236,29519,0,0,0,0,0,1,Active
3870,413.3,0,20,28141.0098,23016,9966,1,1,0,0,0,1,Active
3961,535.1804,5.25,7.5,281.1289,9468,18426,0,0,0,1,0,1,Active
3978,3049.782,10.5,222.5,1471732.905,38160,113158,1,1,0,0,0,1,Active
3978,466.4056,11.31,126.25,773825.3633,0,1862,1,1,0,0,0,0,Churned
4073,2040.1756,63.36,173.75,38867395.5,0,1851,1,1,1,0,0,1,Active
4082,262.28,0,2.5,8.6738,2640,16450,0,0,0,0,1,0,Active
4153,423.93,7.6,3.75,157.5615,3408,14160,1,1,0,1,0,1,Active
4183,119.722,1.75,10,1699954.774,540,1197,1,1,0,1,0,1,Active
4229,510.9708,9.39,11.25,1710288.004,0,1652,1,1,1,0,0,1,Active
4251,355.47,16.74,0,80075.2998,7290,8951,1,1,1,0,0,1,Active
4252,929.82,0,0,152106.7744,0,4246,1,1,0,0,0,1,Active
4254,437.7,0,0,62764.5781,0,0,1,1,0,0,0,1,Active
4681,16387.316,90.13,137.5,3731114.671,22188,313078,1,1,0,1,0,0,Active
4792,963.33,1.75,5,1268950.891,888,4632,1,1,0,0,0,1,Active
4870,1283.8368,9.62,27.5,1469047.9,2808,13915,1,1,0,0,0,1,Active
5374,1008.58,0,0,525649.7168,0,4425,1,1,1,0,0,1,Active
1375,1702,0,2.5,24.1104,43419,49419,0,0,0,0,0,1,Active
1813,1410.868,13.7,41.25,4691.7998,3351,100896,1,1,0,0,1,0,Churned
2546,3437.7,79.2,235,670008.252,2820,110699,1,1,1,0,0,0,Active
2870,1031.654,270.49,56.25,124287.8594,2378,35438,1,1,0,1,0,0,Churned
1751,233.952,13.12,15,38616.0938,1494,10156,1,1,0,0,0,0,Active
2362,2271.57,5.4,13.75,4422097.197,0,3710,1,1,0,0,0,1,Active
4205,973.12,0,3.75,215656.4394,239,179,1,1,0,0,0,1,Active
489,946.768,37.26,21.25,34290.2334,2069,41250,1,1,0,0,0,0,Churned
629,1506.34,61.66,7.5,237319.0733,22809,30443,1,1,0,0,0,1,Active
666,980.5332,47.72,251.25,1674835.019,2763,5016,1,1,0,1,0,1,Active
916,125.0288,9.56,1.25,1.6064,1018,1721,0,0,0,1,0,1,Churned
1046,78.9904,15.95,3.75,4622.2012,885,2376,0,0,0,1,0,1,Active
1120,899.18,242.98,45,150471.0674,432,9614,1,1,0,0,0,1,Churned
2169,395.37,30.04,13.75,22353.418,5890,3033,1,1,0,0,0,1,Active
2271,4642.33,5.25,1.25,0.7559,6199,186886,0,0,0,0,0,0,Active
2490,60.69,18.95,25,1049.9375,0,179,0,1,0,0,0,0,Churned
2713,5979.412,48.38,505,83449734.18,0,58255,1,1,0,1,0,1,Active
3611,1082.25,56.1,368.75,1242062.572,2963,7499,1,1,0,0,0,1,Churned
2290,1992.698,31.5,73.75,906277.2929,47756,37452,1,1,0,0,0,1,Active
126,1760.5,92.23,7.5,1181190.631,6552,21485,1,1,1,0,0,1,Churned
1153,502.26,11.28,373.75,176811.7705,408,8507,1,1,0,1,0,1,Churned
2122,64.43,0.12,26.25,450370.3086,618,580,0,1,0,0,0,1,Churned
3547,1360.55,9.58,0,2791.5049,0,0,0,0,0,0,0,1,Active
2241,429.25,23.48,87.5,26957.125,4222,21625,1,1,0,1,1,0,Active
3263,1899.46,20.62,155,2258907.13,1117,7123,1,1,0,0,0,1,Active
2464,88.982,27.23,1.25,2.8633,813,3180,0,0,1,0,1,0,Churned
3380,867.11,133.78,78.75,1322829.836,8608,5105,1,1,0,0,0,1,Churned
3582,1654.26,50.5,240,42038.0098,954,79980,1,1,0,1,0,0,Churned
3728,25.1,0,0,10.3418,144,813,1,1,0,1,0,1,Active
3805,1080.42,0.01,0,217563.1035,0,2261,1,1,0,0,0,1,Active
3899,916.92,4.78,0,366469.0478,0,358,0,0,0,1,0,1,Active
4084,928.83,137.12,0,17.916,2666,23981,0,0,1,0,0,1,Churned
747,495.03,79.2,0,58128.7901,8700,26663,0,0,0,1,0,1,Active
1526,1015.8,62.56,61.25,6402748.932,1548,7020,1,1,0,0,0,1,Active
1585,4.91,0,0,25706.25,24,467,1,1,0,0,0,0,Active
1994,488.916,31.46,46.25,5483217.191,252,702,1,0,0,0,0,1,Active
2440,2227.55,85.4,43.75,1080063.578,8940,100236,1,1,1,0,0,1,Active
4152,613.96,57.12,0,1526107.752,2580,6942,1,1,1,0,0,1,Active
4232,910.46,14.64,45,2857898.337,1080,9108,1,1,1,0,0,1,Active
133,1108.4956,118.75,56.25,928206.748,2964,15151,1,0,0,1,1,0,Churned
183,356.116,7,0,59.1719,19687,7308,1,1,0,0,0,1,Active
248,77.304,34.33,2.5,1062.7255,251,1111,1,0,0,1,0,1,Churned
255,445.5004,0,38.75,530260.8467,5034,5206,1,1,1,0,0,1,Churned
265,275.17,0,1.25,13.6777,5358,2115,0,0,0,0,0,1,Churned
288,631.534,65.83,3.75,95146.5557,9395,9656,0,0,0,0,0,1,Churned
342,1108.672,65.09,131.25,4292568.15,2893,33247,0,0,1,0,1,0,Churned
347,302.2748,12.58,11.78,156889.3486,2445,6225,0,0,0,0,0,1,Active
352,659.76,20.07,20,108975.8447,9406,36021,1,1,0,0,0,0,Churned
368,1224.0612,0,52.5,1758480.214,502,3681,0,0,0,0,0,0,Active
382,520.066,11.32,37.5,199785.2197,0,22003,0,0,0,0,0,0,Active
394,393.504,26.25,21.25,4451.127,11868,9035,0,0,1,0,0,1,Churned
399,856.684,3.5,31.25,1511060.273,18714,35813,1,1,0,0,0,1,Active
403,2070.9608,10.5,292.5,696838.8955,4934,8794,0,0,0,0,0,1,Active
404,948.726,16.56,0,1686.7334,15219,9390,0,0,0,0,0,1,Churned
410,3004.5,43.76,50,220998.371,38979,109053,0,1,1,0,0,1,Active
413,381.338,13.7,148.75,163079.6973,502,370,1,1,0,1,0,0,Churned
419,314.206,4.36,6.25,219.2432,3526,11294,0,0,0,1,1,0,Active
420,433.874,41.58,1.25,0.6777,60,18656,0,0,1,0,0,0,Active
427,403.218,14.81,2.5,28.002,4685,14127,0,0,0,1,1,0,Active
433,1055.466,0.01,1.25,233628.2148,0,2186,1,1,0,0,0,0,Active
435,293.318,3.5,36.25,11399.0039,2307,860,0,0,0,0,0,0,Churned
436,224.592,10.11,1.25,10.3213,1279,1924,0,0,0,0,0,1,Churned
438,2255.28,11.36,195,5175334.586,4303,5100,1,1,0,0,0,1,Active
458,1939.8908,11.96,0,240.0371,14352,1826,0,0,0,1,0,1,Active
459,97.97,20.46,15,1529.3799,3167,1888,1,1,0,0,0,0,Churned
463,1260.0544,14.02,343.75,1903109.87,372,788,0,0,0,0,0,1,Active
475,1347.97,16.57,1.25,355338.7276,2385,1611,1,1,0,1,0,1,Churned
479,390.73,36.4,0,16974.7803,0,13934,0,0,1,0,1,0,Churned
482,927.942,27.46,105,152009.5557,18814,19307,1,1,0,0,0,1,Churned
485,61.606,23.9,1.25,17.4717,12,1816,0,0,0,0,0,0,Churned
488,271.7008,101.96,60,1707.5136,36,5676,1,1,0,1,0,0,Churned
494,42.758,15.45,1.25,395.8428,1697,502,1,1,1,0,0,0,Churned
499,500.05,22.07,2.5,34.2275,4387,18811,1,1,0,1,0,1,Churned
503,664.306,0,5,1218030.941,765,2675,0,0,0,0,0,1,Active
503,519.098,33.46,0,3439.042,48,2306,0,0,0,1,0,1,Churned
507,1325.15,53.18,167.86,150254.2959,8981,54807,1,1,0,0,0,1,Active
507,539.288,16.73,0,42944.3076,3705,920,0,0,0,0,0,0,Churned
508,1345.51,10.5,92.5,16627649.24,5323,41027,1,1,0,0,0,1,Churned
512,1348.48,5.98,0,3410175.299,0,179,1,1,0,0,0,1,Active
517,608.232,1.75,67.5,34119740.49,587,3022,1,1,0,0,0,1,Active
525,170.04,31.2,23.75,77788.874,708,4982,0,0,1,0,0,1,Churned
545,361.586,16.05,16.25,394703.3926,1077,6107,0,0,0,0,0,0,Churned
549,498.7144,19.5,20,921.4365,8324,17414,0,0,0,0,0,0,Churned
554,2016.994,20.12,43.75,7126095.305,502,0,1,1,1,0,0,1,Active
554,60.71,28.98,8.75,3391.0479,954,0,1,1,0,1,0,1,Churned
567,534.5204,20.05,0,87299.6885,945,1923,0,0,0,0,0,0,Active
577,594.4188,0,3.75,78694.167,3251,4577,0,0,1,0,0,1,Active
580,653.5,43.75,67.5,15981.833,1506,34791,0,1,1,0,0,0,Churned
591,267.1864,7.61,28.75,33536321.8,0,179,0,1,0,0,0,0,Churned
594,5221.15,19.68,83.75,694552.8369,53605,81021,0,0,0,0,0,1,Churned
599,6186.9004,11.95,0,2515177.726,0,384648,1,1,0,0,0,1,Churned
609,1348.892,40.86,1.25,959103.6416,12510,43386,1,1,0,0,0,1,Active
615,164.74,49.39,22.5,535548.8135,108,1362,0,0,1,0,0,0,Churned
634,1154.6904,9.56,325,1132914.542,992,17843,1,1,0,0,1,0,Churned
636,1281.6892,46.45,53.75,26519180.36,3495,1611,1,1,0,1,0,1,Active
643,720.944,137.27,18.75,2423.5811,5080,21156,1,1,0,0,1,0,Churned
667,469.6584,13.06,0,455.1973,4315,25839,1,1,0,0,0,1,Churned
671,118.952,4.78,56.25,151865.1455,0,895,1,1,0,0,0,0,Churned
680,551.2116,60.48,22.5,264810.6015,96,10451,0,0,0,1,0,0,Churned
